PCA plot,Model,series,PC1,PC2,Grid x,Grid y,Node name
Combined,Our model,"grid position (1, 1)",0.06446776051548084,-0.044716262828053834,1,1,
Combined,Our model,"grid position (1, 2)",-0.14977382166588576,0.1441130684760991,1,2,
Combined,Our model,"grid position (2, 0)",-0.06632122036016233,-0.235697350381219,2,0,
Combined,Our model,"grid position (2, 1)",0.04331071698823995,-0.17062086064515247,2,1,
Combined,Our model,"grid position (2, 2)",-0.11700303746154293,0.005487250424263917,2,2,
Combined,Our model,"grid position (0, 0)",0.3487831833467999,0.014218200960443768,0,0,
Combined,Our model,"grid position (0, 1)",0.2290515773963857,0.18502099589087298,0,1,
Combined,Our model,"grid position (0, 2)",0.032438723099331615,0.45247332345952646,0,2,
Combined,Our model,"grid position (1, 0)",0.13532616323319102,-0.20222299812362077,1,0,
Combined,Our model,"grid position (1, 1)",0.039873772424483485,0.025159225150935025,1,1,
Combined,Our model,"grid position (1, 2)",-0.2551851754704476,0.2200238375725841,1,2,
Combined,Our model,"grid position (2, 0)",-0.03509650203795645,-0.17692557738528678,2,0,
Combined,Our model,"grid position (2, 1)",-0.14758608780535368,-0.03790590375527386,2,1,
Combined,Our model,"grid position (2, 2)",-0.35050562919364453,0.12213460620219158,2,2,
Combined,Our model,"grid position (0, 0)",0.14592003177077673,-0.08762331991766074,0,0,
Combined,Our model,"grid position (0, 1)",0.18702253597833524,0.03383462689191051,0,1,
Combined,Our model,"grid position (0, 2)",0.1193675593940855,0.4457075469448841,0,2,
Combined,Our model,"grid position (1, 0)",-0.0179910954052809,-0.24274356324096424,1,0,
Combined,Our model,"grid position (1, 1)",0.06696196748304739,-0.1435874766889845,1,1,
Combined,Our model,"grid position (1, 2)",-0.18174012589268518,0.09945204242566293,1,2,
Combined,Our model,"grid position (2, 0)",-0.15961010501641315,-0.2371481144971779,2,0,
Combined,Our model,"grid position (2, 1)",-0.15120166572643517,-0.08630713970071165,2,1,
Combined,Our model,"grid position (2, 2)",-0.415443155248475,0.010003357073262675,2,2,
Combined,Our model,"grid position (0, 0)",0.21790493856251358,-0.07234507239731253,0,0,
Combined,Our model,"grid position (0, 1)",0.22777403316067588,0.017672381179978432,0,1,
Combined,Our model,"grid position (0, 2)",-0.03291371521686735,0.08307266767812217,0,2,
Combined,Our model,"grid position (1, 0)",-0.0319638699154114,-0.2246190490325889,1,0,
Combined,Our model,"grid position (1, 1)",-0.01875402892354005,-0.03783792035323051,1,1,
